Bird,5047385090,256655047,2,2,5,8,0.5,435,240,0,0,0,0,2,0,4.1139164,8.2,0
Avenos,5047385090,82406800,1,2,1,4,0.5,334,144,1,0,0,0,3,0,0,8.05,0
TripleRainboW)),5047385090,80718533,3,2,2,9,0.3846154,288,66,1,0,1,0,2,0,30.422241,8.93,0
Pure Child,5047385090,81895209,4,2,6,10,0.5769231,208,32,0,0,17,0,2,1,36.008545,17.3,0
Give up dude,5047385090,287839122,0,2,3,4,0.46341464,452,249,1,0,0,1,8,0,0,12.92,2.15
Old Man Techn1qu3,5047385090,129445595,4,2,3,4,0.36585367,304,19,1,0,15,0,3,0,12.324453,11.47,0
Droziki,5047385090,61352619,3,2,6,11,0.58536583,462,218,0,0,0,2,10,0,63.78332,15.94,0
one oh nine,5047385090,121187617,1,2,21,1,0.7804878,697,387,3,1,1,1,22,0,50.42733,29.59,0
pandaPGOD:) ,5047385090,164544758,2,2,8,6,0.6097561,493,250,0,0,3,0,4,0,66.73289,15.89,0
Poncho,5047338965,86179205,2,2,1,4,0.33333334,191,17,0,0,9,1,1,0,75.60778,13.02,0
Dixie-,5047338965,101752409,1,2,3,4,0.6666667,311,90,0,0,0,0,4,0,31.158646,10.86,0
thrillhouse,5047338965,60957712,3,2,5,6,0.5,319,80,0,0,0,1,3,0,2.635376,8.43,0
velvelvel,5047338965,333226362,0,2,2,3,0.16666667,552,235,1,0,0,0,3,0,13.347119,7.26,-1.28
Xentavious,5047338965,83845896,2,2,3,4,0.6363636,347,58,0,0,0,0,4,0,0,8.35,0
Effjai,5047338965,430764681,3,2,2,1,0.6818182,499,158,0,0,0,0,1,0,0,8.58,0
Cam,5047338965,178434754,1,2,10,0,0.6363636,666,201,2,0,1,0,3,0,7.670044,14.64,0
Cam,5047367160,178434754,1,2,2,4,0.6363636,383,297,0,0,1,0,0,0,0,8.04,0
Xentavious,5047367160,83845896,2,2,1,6,0.8181818,252,99,1,0,0,0,1,0,75.41394,14.2,0
Effjai,5047367160,430764681,3,2,5,3,0.54545456,583,328,0,0,0,0,0,0,0,8.93,0
velvelvel,5047367160,333226362,0,2,13,0,0.5833333,701,307,3,0,1,0,3,1,0,17.08,-3.01
Dixie-,5047367160,101752409,1,2,5,4,0.625,461,144,0,0,1,0,4,0,12.591064,10.52,0
thrillhouse,5047367160,60957712,3,2,3,1,0.41666666,505,196,1,1,0,1,8,0,0,11.93,0
Poncho,5047367160,86179205,2,2,1,3,0.41666666,371,61,0,0,13,1,6,0,12.594427,11.4,0
JIVEE,5047330472,105958764,0,2,11,9,0.5294118,588,304,2,1,0,2,7,0,73.547485,20.95,0
E H,5047330472,80955316,3,2,8,10,0.64705884,561,284,1,1,0,1,7,0,48.134243,16.97,0
BigAug,5047330472,99738135,1,2,17,6,0.7254902,669,338,1,0,0,0,3,0,35.691456,17.61,0
four zero three,5047330472,105154232,2,2,4,11,0.7254902,368,70,1,0,9,0,7,0,53.799927,15.71,0
_-_Oz_-_,5047330472,204651259,4,2,10,7,0.5882353,382,87,0,0,12,1,9,0,16.381495,15.29,0
StarEnd ,5047330472,316353271,0,2,17,8,0.76744187,622,343,1,0,1,0,11,0,57.171986,17,-4.25
Ana is back,5047330472,58351788,2,2,6,7,0.627907,440,258,3,0,0,1,7,0,4.667627,14.14,0
Ripley,5047330472,70487965,3,2,9,12,0.6511628,315,93,0,0,4,0,5,1,0,14.11,0
M0ckingbird,5047330472,149099590,1,2,8,9,0.5116279,551,318,1,0,0,0,5,0,62.385197,15.59,0
StarEnd ,5047382847,316353271,0,2,9,4,0.67741936,499,271,0,0,0,0,3,0,62.40675,12.58,-3.15
M0ckingbird,5047382847,149099590,1,2,6,5,0.6451613,518,312,0,0,0,1,7,0,9.680714,12.22,0
Ana is back,5047382847,58351788,2,2,11,3,0.6451613,487,268,0,0,0,1,2,0,84.924324,18.22,0
Ripley,5047382847,70487965,3,2,0,10,0.58064514,235,71,1,0,4,0,1,0,93.19201,14.13,0
JIVEE,5047382847,105958764,0,2,9,9,0.9354839,488,207,4,0,0,2,9,0,31.0828,20.21,0
BigAug,5047382847,99738135,1,2,11,4,0.58064514,662,369,3,0,0,0,8,0,1.4382696,16.14,0
E H,5047382847,80955316,3,2,7,3,0.67741936,555,319,1,0,0,1,5,0,32.774384,15.31,0
four zero three,5047382847,105154232,2,2,3,9,0.7741935,320,78,1,0,4,0,5,0,44.05004,13.65,0
_-_Oz_-_,5047382847,204651259,4,2,1,6,0.61290324,258,44,0,0,13,1,5,0,8.926907,11.13,0
MGHappyhobo,5047383471,260316741,0,2,6,5,0.7741935,412,155,0,0,0,1,8,1,66.48999,17.59,-3.1
